csc,countries,carriers
3IE,IE,Three
ABD,TN
DDI,IE;GB;FR;DE;CH;BE,Carphone Warehouse
DHR,HR
DHT,CZ
DIX,IE,0
DJC,CA,Fido
DKT,DK
DOR,US,US Cellular
DPL,PL,Orange
DRE,DE,1&1 (Drillisch)
DRG,CH,Digital Republic
DRK,CH,Salt
DTM,DE,T-Mobile
DTM2,DE,T-Mobile
DTP,PL,Orange
DVA,IT
DVR,RO,Vodafone
DVS,US
DWT,DE
EBE,BE
ECO,CO
ECT,SG
EEA,GB
EEB,GB
EEK,EE
EON,SK,Orange
ERA,PT
ERG,DE
ETL,LU
EVR,GB,EE
EXA,BG;RO;GR
FAM,IT
FET,TW,FarEasTone
FGS,CH
FNC,CO
FOP,PL,Orange
FOX,DE;FR;IT
FTM,FR,Orange
GBL,GB,Giffgaff
GCF,GB
GCR,CR;GT;HN,Claro
GDR,DE
GEO,GE
GFI,FR
GHA,GH
GLB,BE
GTO,UY
GTS,SK,O2
GUF,FR
GUY,GF
H3G,AT;DK;IE;IT;SE;GB,3
HAT,HU
HKG,HK
HIT,IT
HUI,HU
HUN,HU
HUT,HU
IDE,IN,Idea
ILO,IL
IMG,IN
IMI,IN
INS,IN
INU,IN
IRN,IR
ISL,IS
ITV,IT
ITV2,IT
JDI,JP
KCT,KR
KDO,CA,Koodo Mobile
KOO,CA,Koodo
KSA,SA
KTC,CA;US;MX
KTF,KR,KT
KTL,IE
KOO,CA,Koodo
KOO,CA,Koodo Mobile
LAO,TH
LUC,CA,Lucent
LUX,LU
LUX2,LU
LYS,LY
MAT,MA
MAX,MX
MBM,IT
MBV,IE;GB;FR;DE;CH;BE
MCT,MY
MEO,PT,MEO
MET,GB
MID,IL
MM1,MM
MMO,MX,Movistar
MOB,BE;LU,Mobistar
MOV,ES,Movistar
MOZ,MZ
MSR,EG
MST,CA
MTB,EE
MTC,CA
MTM,CA
MTN,ZA,MTN
MTZ,LT,Telia
MWD,DE
MXO,MX,Telcel
NEE,NO;SE;DK;FI
NPL,NP
NTH,GR
NTL,GB
O2C,CZ,O2
O2I,IE,O2
O2U,GB,O2
O2X,DE,O2
OMN,OM
ONE,DE,One
ONE,GB,One2One
OPV,DE
OPV2,DE
OPT,AU,Optus
ORL,FR;ES,Orange
ORL,GB
ORO,RO,Orange
ORS,CH,Orange
ORX,SK,Orange
PAM,IT
PAN,AM
PCW,GB,Carphone Warehouse
PCT,JP,NTT Docomo
PCS,US
PCW,GB
PEE,GB
PHE,ES
PHN,NL
PKT,PK
PLS,PL,Plus
PME,BE
PNT,PT
POR,PT
PRO,RU
PRT,PT,Portuguese Mobile
PSN,US,Public
PSP,PA
PUR,US,Puerto Rico
RMR,MA
ROM,RO
SAO,SA
SEB,SE
SEE,GB
SEK,UA;
SER,RU
SEZ,CH
SFR,FR,SFR
SIO,SI
SKC,SK
SKO,SK,Orange
SKZ,KZ
SLK,SK
SLV,SV
SMA,SA
SMB,SA
SMC,IE
SML,LY
SMP,MX
SMP,MX,Movistar
SOF,FR
SPC,CA,SaskTel
SPR,US,Sprint
STAR,AP
STH,SE
SUP,CH
SWC,SZ
TCE,ES
TCL,MX
TCL2,MX
TDR,DO
TEB,GB
TEL,CA,Telus
TEN,NO;SE;DK;FI
TES,DE
TFG,GB
THL,TH
THM,TH
THR,IR
THY,TH
TIM,IT
TLA,DO
TLK,IE
TLS,ES
TM,2U,HU
TMB,US,T-Mobile
TMH,SE
TMI,IT;SM
TMK,HU
TMM,MX
TMO,US,T-Mobile
TMS,SE
TMU,HU
TMZ,CZ;SK;GR;HU;PL;RO;DE;ES;FR;IT;GB;NL;AT;BE;CZ;DK;EE;FI;LT;LV;MT;NO;PT;SE;SI;SK;BG;HR;IE;LU
TNZ,NZ
TPA,PA
TPH,PL,Play
TPH,PL,P4
TPL,PL
TPV,GR
TRG,RO
TRH,RO
TRK,TR,Turkcell
TSR,RO
TSZ,TZ
TTT,TT
TUR,TR
TUR2,TR
TVO,CR
TWT,TW,Taiwan Mobile
UCR,CR
UPO,PL
URC,UY
URJ,UY
USC,US,US Cellular
VAU,AU,Vodafone
VD2,DE,Vodafone
VDF,AL;EG;DE;GR;HU;IE;IT;NL;PT;RO;GB,Vodafone
VDI,IE,Vodafone
VDS,ES,Vodafone
VDZ,BG,Vivacom
VEL,PT
VGR,GR
VIA,AT
VIP,RS;MK
VMT,HU
VNZ,NZ,Vodafone
VOD,GB;IN;HU;RO,Vodafone
VTR,CL
VVF,FR
VZW,US,Verizon
WDC,DO
WDO,DO
WIN,CA;US;MX
WNY,MX
XAA,US
XAC,CA
XAG,DE
XAR,US
XAS,US
XAA2,US
XAA_AT,US
XEF,FR
XEG,DE
XEN,NL
XEOMY,MX
XEO,PL
XEU,GB
XEZ,CZ
XFA,ZA
XFE,ZA
XME,MY
XMT,MX
XSG,AE
XSP,SG
XTC,PH
XXV,VN
ZTO,BR
ZVV,UA
